X,Y
0,253.05
0.0104,253.8
0.0208,253.25
0.0312,253.8
0.0417,253.05
0.0521,254.15
0.0625,253.45
0.0729,253.65
0.0833,253.75
0.0938,254
0.1042,254.35
0.1146,254.05
0.125,253.5
0.1354,253
0.1458,253.55
0.1562,253.7
0.1667,254.15
0.1771,253.5
0.1875,254.05
0.1979,253.95
0.2083,253.85
0.2188,252.4
0.2292,254.2
0.2396,253.05
0.25,253.45
0.2604,254.15
0.2708,252.75
0.2812,253.65
0.2917,252.65
0.3021,253.75
0.3125,253.5
0.3229,253.4
0.3333,254.15
0.3438,254.05
0.3542,253.45
0.3646,254.35
0.375,254.05
0.3854,253.4
0.3958,253.7
0.4062,254.05
0.4167,253.85
0.4271,253.45
0.4375,252.95
0.4479,253.15
0.4583,254
0.4688,254.4
0.4792,254.35
0.4896,254.95
0.5,253.4
0.5104,253.55
0.5208,254.55
0.5312,254.15
0.5417,252.75
0.5521,253.4
0.5625,254.1
0.5729,253.05
0.5833,254.4
0.5938,253.35
0.6042,253.05
0.6146,253.45
0.625,253.5
0.6354,253.45
0.6458,253.7
0.6562,253.95
0.6667,254.45
0.6771,253.95
0.6875,254.75
0.6979,252.8
0.7083,254.25
0.7188,254.1
0.7292,253.25
0.7396,252.7
0.75,254
0.7604,254.25
0.7708,253.9
0.7812,254.1
0.7917,254.55
0.8021,254.25
0.8125,254.45
0.8229,253.8
0.8333,254.1
0.8438,252.8
0.8542,253.95
0.8646,254.2
0.875,254.1
0.8854,253.4
0.8958,253.95
0.9062,253.95
0.9167,254.35
0.9271,253.15
0.9375,253.65
0.9479,252.05
0.9583,253.45
0.9688,254
0.9792,253.5
0.9896,253.85
1,254.65
1.0104,252.95
1.0208,253.8
1.0312,253.55
1.0417,253.05
1.0521,253.95
1.0625,253.3
1.0729,252.75
1.0833,253.55
1.0938,253.8
1.1042,253.2
1.1146,253.8
1.125,253.7
1.1354,253.65
1.1458,254.05
1.1562,253.65
1.1667,252.85
1.1771,251.7
1.1875,253.95
1.1979,254.3
1.2083,254.35
1.2188,253.55
1.2292,253.4
1.2396,252.4
1.25,254.05
1.2604,252.85
1.2708,253.55
1.2812,254.1
1.2917,254
1.3021,253.05
1.3125,253.5
1.3229,253.5
1.3333,253.85
1.3438,253
1.3542,254.15
1.3646,253.95
1.375,252.9
1.3854,253.35
1.3958,253.1
1.4062,253.4
1.4167,253.25
1.4271,253.55
1.4375,253.75
1.4479,253.85
1.4583,253.8
1.4688,253.85
1.4792,253.9
1.4896,254.2
1.5,253.15
1.5104,253.9
1.5208,254.25
1.5312,254
1.5417,253.45
1.5521,253.4
1.5625,252.75
1.5729,253.6
1.5833,253.65
1.5938,254.05
1.6042,253.45
1.6146,253.5
1.625,254.1
1.6354,253.35
1.6458,254.4
1.6562,251.15
1.6667,252.95
1.6771,252.9
1.6875,254
1.6979,253.45
1.7083,253
1.7188,253.25
1.7292,253.45
1.7396,253.3
1.75,254.15
1.7604,253.15
1.7708,253
1.7812,253.45
1.7917,253.1
1.8021,252.75
1.8125,253.45
1.8229,253.9
1.8333,254.15
1.8438,251.45
1.8542,253.25
1.8646,253.35
1.875,253.05
1.8854,253.55
1.8958,253.2
1.9062,252.15
1.9167,253.1
1.9271,252.75
1.9375,253.1
1.9479,253.85
1.9583,253.5
1.9688,253.85
1.9792,253.85
1.9896,254
2,254.15
2.0104,251.4
2.0208,253.65
2.0312,252.75
2.0417,253.5
2.0521,252.5
2.0625,252.7
2.0729,253.35
2.0833,253.45
2.0938,253.65
2.1042,252.8
2.1146,253.7
2.125,252.2
2.1354,253.15
2.1458,252.8
2.1562,253.35
2.1667,252.85
2.1771,252.1
2.1875,253.65
2.1979,253
2.2083,253.65
2.2188,251.85
2.2292,252.65
2.2396,251.4
2.25,252.2
2.2604,251.95
2.2708,251.7
2.2812,253.25
2.2917,252.6
2.3021,251.4
2.3125,252.45
2.3229,252.15
2.3333,253
2.3438,249.9
2.3542,252.45
2.3646,252.4
2.375,252.35
2.3854,252.15
2.3958,251.4
2.4062,251.8
2.4167,253.65
2.4271,251.2
2.4375,251.05
2.4479,251.9
2.4583,252.2
2.4688,252.45
2.4792,251.65
2.4896,252.25
2.5,250.75
2.5104,250.8
2.5208,253.45
2.5312,251.3
2.5417,253.25
2.5521,252.2
2.5625,252.8
2.5729,251.15
2.5833,251.2
2.5938,249.6
2.6042,248.8
2.6146,250.35
2.625,250.55
2.6354,251.15
2.6458,253.25
2.6562,250.95
2.6667,252.1
2.6771,250.35
2.6875,252.2
2.6979,251.95
2.7083,251.05
2.7188,250.2
2.7292,251
2.7396,250
2.75,249.9
2.7604,250.55
2.7708,249.15
2.7812,249.1
2.7917,247.85
2.8021,247.9
2.8125,249.3
2.8229,248.5
2.8333,250.8
2.8438,249.8
2.8542,250.4
2.8646,249.95
2.875,249.2
2.8854,250.4
2.8958,249.15
2.9062,249.95
2.9167,248.95
2.9271,249.6
2.9375,249.75
2.9479,248.5
2.9583,249.5
2.9688,249.5
2.9792,249.55
2.9896,246.85
3,247.35
3.0104,247.25
3.0208,247.65
3.0312,249.75
3.0417,247.4
3.0521,247.75
3.0625,247.6
3.0729,246.7
3.0833,248.9
3.0938,248.4
3.1042,247.5
3.1146,250.15
3.125,249
3.1354,246.75
3.1458,246.9
3.1562,247.5
3.1667,248.7
3.1771,245.95
3.1875,248.35
3.1979,248.95
3.2083,246.1
3.2188,244.45
3.2292,245.4
3.2396,247.35
3.25,247.9
3.2604,245.75
3.2708,244.85
3.2812,243.15
3.2917,243.9
3.3021,242.8
3.3125,244.3
3.3229,245
3.3333,245.35
3.3438,243.85
3.3542,245.3
3.3646,243.5
3.375,243.9
3.3854,241.65
3.3958,241.15
3.4062,241.1
3.4167,242.9
3.4271,243.15
3.4375,243.5
3.4479,241.45
3.4583,240.8
3.4688,241.35
3.4792,240.5
3.4896,241
3.5,240.85
3.5104,242.15
3.5208,241.3
3.5312,240
3.5417,241.45
3.5521,241.6
3.5625,239.95
3.5729,238.55
3.5833,240.1
3.5938,237.3
3.6042,236.85
3.6146,236.6
3.625,237.2
3.6354,235.75
3.6458,237.2
3.6562,237.85
3.6667,239.2
3.6771,237
3.6875,237.35
3.6979,236.1
3.7083,233.8
3.7188,231.95
3.7292,232.6
3.7396,231.6
3.75,236.1
3.7604,233.85
3.7708,234.45
3.7812,235.35
3.7917,235.15
3.8021,234.1
3.8125,232.8
3.8229,232.8
3.8333,235.55
3.8438,231.9
3.8542,233.4
3.8646,234.55
3.875,232.2
3.8854,230.7
3.8958,233.3
3.9062,230.05
3.9167,229.35
3.9271,227.6
3.9375,229.9
3.9479,229.75
3.9583,229
3.9688,229.85
3.9792,228.45
3.9896,229
4,229.75
4.0104,228.25
4.0208,226.45
4.0312,228.7
4.0417,227.45
4.0521,229.05
4.0625,229.65
4.0729,226.55
4.0833,227.7
4.0938,226.7
4.1042,224.4
4.1146,225.75
4.125,223.5
4.1354,222.8
4.1458,223.6
4.1562,222.55
4.1667,221.5
4.1771,220.3
4.1875,220.7
4.1979,221.6
4.2083,224.85
4.2188,226.25
4.2292,227.45
4.2396,224.95
4.25,226.3
4.2604,225.4
4.2708,227.7
4.2812,224.75
4.2917,227.1
4.3021,227.15
4.3125,226.4
4.3229,223.95
4.3333,224.8
4.3438,223.95
4.3542,223.6
4.3646,223.85
4.375,227.15
4.3854,226.45
4.3958,228.35
4.4062,226.05
4.4167,227.6
4.4271,224.15
4.4375,223.95
4.4479,223.9
4.4583,223.7
4.4688,221.9
4.4792,223.25
4.4896,223
4.5,222
4.5104,219.5
4.5208,220.8
4.5312,221.55
4.5417,222.9
4.5521,221.65
4.5625,220.1
4.5729,219.75
4.5833,220.1
4.5938,219.6
4.6042,219.85
4.6146,220.75
4.625,222.25
4.6354,221.5
4.6458,221.75
4.6562,224
4.6667,222.55
4.6771,222.35
4.6875,222.8
4.6979,222
4.7083,223.5
4.7188,223.7
4.7292,223.6
4.7396,223.55
4.75,222.9
4.7604,223.6
4.7708,221.7
4.7812,221.5
4.7917,219.5
4.8021,219.35
4.8125,218.15
4.8229,217.45
4.8333,220.75
4.8438,217.75
4.8542,217.4
4.8646,219.8
4.875,220.15
4.8854,220
4.8958,221.6
4.9062,221.8
4.9167,224.3
4.9271,220.1
4.9375,220.2
4.9479,220.75
4.9583,219.65
4.9688,220
4.9792,218.15
4.9896,217.95
5,217.15
5.0104,219.2
5.0208,217.15
5.0312,216.5
5.0417,215.55
5.0521,218.65
5.0625,216.7
5.0729,216.9
5.0833,220.05
5.0938,219.7
5.1042,222.3
5.1146,220.3
5.125,221.85
5.1354,219.45
5.1458,217
5.1562,216.55
5.1667,216.6
5.1771,214.4
5.1875,213.2
5.1979,213.05
5.2083,209.9
5.2188,212.25
5.2292,211.35
5.2396,211.35
5.25,212.4
5.2604,213.75
5.2708,214.6
5.2812,214.6
5.2917,213.65
5.3021,214.9
5.3125,213.1
5.3229,213.85
5.3333,212.65
5.3438,213.2
5.3542,212.9
5.3646,214.05
5.375,213.8
5.3854,216.4
5.3958,217
5.4062,216.3
5.4167,215.8
5.4271,214.75
5.4375,211.9
5.4479,210.45
5.4583,209.5
5.4688,209.2
5.4792,210.55
5.4896,213.2
5.5,213.25
5.5104,213.6
5.5208,214.55
5.5312,216
5.5417,218.05
5.5521,215.85
5.5625,215.85
5.5729,215.05
5.5833,216.2
5.5938,214.7
5.6042,214.5
5.6146,215.4
5.625,214.1
5.6354,213.95
5.6458,212.3
5.6562,209
5.6667,210.15
5.6771,211.7
5.6875,210.25
5.6979,211.05
5.7083,212.75
5.7188,215.8
5.7292,213.75
5.7396,213.1
5.75,211.25
5.7604,209.4
5.7708,208
5.7812,208.9
5.7917,210.9
5.8021,213.1
5.8125,216.1
5.8229,218.6
5.8333,215.75
5.8438,217.55
5.8542,216.5
5.8646,216.7
5.875,214.65
5.8854,213.5
5.8958,215.35
5.9062,217.25
5.9167,219.85
5.9271,218.65
5.9375,218.25
5.9479,216.2
5.9583,215.6
5.9688,214.7
5.9792,215.75
5.9896,215.15
6,213.9
6.0104,212.6
6.0208,212.8
6.0312,213.3
6.0417,215.6
6.0521,215.85
6.0625,216.1
6.0729,214.95
6.0833,214.15
6.0938,211.9
6.1042,215.15
6.1146,215.2
6.125,215.75
6.1354,214.75
6.1458,212.95
6.1562,210
6.1667,209.9
6.1771,211.2
6.1875,212.3
6.1979,215.55
6.2083,214.9
6.2188,214.7
6.2292,211.75
6.2396,213.45
6.25,215.65
6.2604,214.1
6.2708,215.25
6.2812,215.85
6.2917,215.5
6.3021,213.8
6.3125,214.05
6.3229,212.85
6.3333,214.7
6.3438,214.5
6.3542,215.7
6.3646,215.85
6.375,216.8
6.3854,214.2
6.3958,214.6
6.4062,213.4
6.4167,215.9
6.4271,216.2
6.4375,214.85
6.4479,214.15
6.4583,211.75
6.4688,209.95
6.4792,210.55
6.4896,214.45
6.5,210.75
6.5104,212.35
6.5208,213.75
6.5312,213.5
6.5417,214.85
6.5521,214.4
6.5625,214.6
6.5729,212.5
6.5833,214.4
6.5938,213
6.6042,212.25
6.6146,213.25
6.625,212.2
6.6354,210.9
6.6458,209.2
6.6562,213.4
6.6667,212.45
6.6771,213.45
6.6875,212.8
6.6979,213.4
6.7083,213.6
6.7188,213.1
6.7292,213.3
6.7396,212.55
6.75,213.7
6.7604,213.05
6.7708,211.95
6.7812,213.7
6.7917,212.7
6.8021,214.15
6.8125,213.55
6.8229,212.3
6.8333,211.9
6.8438,212.15
6.8542,213.65
6.8646,212.8
6.875,214.6
6.8854,211.85
6.8958,211.35
6.9062,210.75
6.9167,211.35
6.9271,211.2
6.9375,211.65
6.9479,213.85
6.9583,212.55
6.9688,214.95
6.9792,214.65
6.9896,214.15
7,213.95
7.0104,213.05
7.0208,215.85
7.0312,213.65
7.0417,214.35
7.0521,214.5
7.0625,213.65
7.0729,214.95
7.0833,214.55
7.0938,215.85
7.1042,216.75
7.1146,217.8
7.125,218.5
7.1354,218.9
7.1458,218.2
7.1562,220.15
7.1667,219.2
7.1771,218.2
7.1875,218.2
7.1979,218.9
7.2083,218.35
7.2188,219.05
7.2292,217.8
7.2396,217.7
7.25,220.1
7.2604,217.8
7.2708,214.45
7.2812,217.55
7.2917,216.1
7.3021,216.6
7.3125,216.95
7.3229,218
7.3333,217.05
7.3438,217.85
7.3542,217.75
7.3646,218.65
7.375,216.4
7.3854,217.55
7.3958,220.25
7.4062,218.35
7.4167,219.65
7.4271,219.8
7.4375,217.9
7.4479,221.4
7.4583,220.5
7.4688,223.05
7.4792,224.25
7.4896,222.4
7.5,223
7.5104,223.3
7.5208,225.3
7.5312,223.5
7.5417,222.6
7.5521,222.55
7.5625,222.05
7.5729,221.1
7.5833,222.7
7.5938,222.05
7.6042,222.7
7.6146,227.6
7.625,225.55
7.6354,226.4
7.6458,225.5
7.6562,226.25
7.6667,226.55
7.6771,225.5
7.6875,224.9
7.6979,225.75
7.7083,225.5
7.7188,226.35
7.7292,225.5
7.7396,226.45
7.75,228.3
7.7604,227.7
7.7708,227.6
7.7812,230
7.7917,229.05
7.8021,227.1
7.8125,228.5
7.8229,231.3
7.8333,231.65
7.8438,230.7
7.8542,230.6
7.8646,229.15
7.875,232
7.8854,229.95
7.8958,228.35
7.9062,228.95
7.9167,229.1
7.9271,230.7
7.9375,232.5
7.9479,231.1
7.9583,232.1
7.9688,231.75
7.9792,231.05
7.9896,231.35
8,232.9
8.0104,230.85
8.0208,232.3
8.0312,232.95
8.0417,234.25
8.0521,231.8
8.0625,232.7
8.0729,232.75
8.0833,233.1
8.0938,233.2
8.1042,232.7
8.1146,233.55
8.125,235
8.1354,233.2
8.1458,234.05
8.1562,232.65
8.1667,233.6
8.1771,234.3
8.1875,236.3
8.1979,235.4
8.2083,236.7
8.2188,235.25
8.2292,237.05
8.2396,236.8
8.25,239.65
8.2604,237.75
8.2708,237.8
8.2812,237.45
8.2917,237.3
8.3021,238.4
8.3125,239.7
8.3229,240.3
8.3333,239.7
8.3438,238
8.3542,239.6
8.3646,239.75
8.375,239.25
8.3854,238.6
8.3958,240.15
8.4062,239.15
8.4167,239.75
8.4271,239.6
8.4375,239.75
8.4479,239.35
8.4583,241
8.4688,241.4
8.4792,240.5
8.4896,240.25
8.5,241.3
8.5104,239.1
8.5208,241.85
8.5312,240.8
8.5417,241.45
8.5521,240.5
8.5625,241.15
8.5729,241.75
8.5833,240.85
8.5938,241.35
8.6042,241.35
8.6146,243.5
8.625,242.45
8.6354,244.5
8.6458,243.35
8.6562,244.5
8.6667,245.25
8.6771,243.55
8.6875,245.8
8.6979,243.5
8.7083,244.85
8.7188,245.1
8.7292,245.2
8.7396,243.75
8.75,246.25
8.7604,244.05
8.7708,244.2
8.7812,244.25
8.7917,244.95
8.8021,243
8.8125,244.5
8.8229,242.85
8.8333,245.2
8.8438,244
8.8542,244.05
8.8646,246.6
8.875,245.1
8.8854,246
8.8958,245.45
8.9062,244.75
8.9167,245.2
8.9271,245.4
8.9375,247.3
8.9479,246.1
8.9583,247.4
8.9688,246.3
8.9792,248.7
8.9896,249.05
9,248.6
9.0104,247.65
9.0208,249.1
9.0312,249.35
9.0417,249.6
9.0521,247.75
9.0625,247.7
9.0729,246.75
9.0833,248.2
9.0938,247.5
9.1042,247.85
9.1146,248.8
9.125,248.55
9.1354,249.9
9.1458,249.6
9.1562,246.8
9.1667,247.05
9.1771,247.95
9.1875,247.55
9.1979,250.3
9.2083,248.55
9.2188,247.55
9.2292,249.2
9.2396,248.75
9.25,248
9.2604,248.9
9.2708,249.45
9.2812,249.75
9.2917,249.65
9.3021,248.4
9.3125,248.8
9.3229,248.8
9.3333,250.5
9.3438,248.35
9.3542,249.65
9.3646,249
9.375,249.35
9.3854,249.95
9.3958,250.1
9.4062,249.75
9.4167,249.85
9.4271,248.4
9.4375,250.6
9.4479,248.8
9.4583,250.75
9.4688,250.6
9.4792,250.35
9.4896,248.9
9.5,250.45
9.5104,250.15
9.5208,250.8
9.5312,249.1
9.5417,249.9
9.5521,250.9
9.5625,250.5
9.5729,249.8
9.5833,251.75
9.5938,251.15
9.6042,251.8
9.6146,251.2
9.625,251.25
9.6354,253.2
9.6458,252.9
9.6562,253.2
9.6667,252
9.6771,252.2
9.6875,252.85
9.6979,252.8
9.7083,251.15
9.7188,252
9.7292,251.8
9.7396,250.85
9.75,251.9
9.7604,252.05
9.7708,252.1
9.7812,251.5
9.7917,251.8
9.8021,252.25
9.8125,252.05
9.8229,250.25
9.8333,253.1
9.8438,250.85
9.8542,252
9.8646,252.25
9.875,251.9
9.8854,251.25
9.8958,250.05
9.9062,252.9
9.9167,252.55
9.9271,253.1
9.9375,252.35
9.9479,253.8
9.9583,252.15
9.9688,252.05
9.9792,251.95
9.9896,254
10,253.85
10.0104,250.2
10.0208,253.25
10.0312,253.2
10.0417,253.05
10.0521,253.4
10.0625,254.25
10.0729,254
10.0833,251.95
10.0938,253.05
10.1042,252.2
10.1146,252.05
10.125,253.6
10.1354,252.55
10.1458,251.9
10.1562,250.9
10.1667,252.25
10.1771,249.05
10.1875,252.95
10.1979,252.15
10.2083,252.9
10.2188,253.35
10.2292,254.1
10.2396,251.8
10.25,252.6
10.2604,252.8
10.2708,253.6
10.2812,251.8
10.2917,251.8
10.3021,252.85
10.3125,253.5
10.3229,253.5
10.3333,253.9
10.3438,252.3
10.3542,251.5
10.3646,253.2
10.375,253.55
10.3854,253.8